date,state,attribute,value,date_us
1/04/2020 0:00,New South Wales,Hospital,218,1/04/2020
1/04/2020 0:00,New South Wales,ICU,42,1/04/2020
1/04/2020 0:00,New South Wales,Ventilator,23,1/04/2020
1/04/2020 0:00,Northern Territory,Hospital,16,1/04/2020
1/04/2020 0:00,Northern Territory,ICU,1,1/04/2020
1/04/2020 0:00,Northern Territory,Ventilator,1,1/04/2020
1/04/2020 0:00,Queensland,Hospital,66,1/04/2020
1/04/2020 0:00,Queensland,ICU,9,1/04/2020
1/04/2020 0:00,Queensland,Ventilator,7,1/04/2020
1/04/2020 0:00,South Australia,Hospital,23,1/04/2020
1/04/2020 0:00,South Australia,ICU,8,1/04/2020
1/04/2020 0:00,South Australia,Ventilator,0,1/04/2020
1/04/2020 0:00,Tasmania,Hospital,9,1/04/2020
1/04/2020 0:00,Tasmania,ICU,0,1/04/2020
1/04/2020 0:00,Tasmania,Ventilator,0,1/04/2020
1/04/2020 0:00,Victoria,Hospital,36,1/04/2020
1/04/2020 0:00,Victoria,ICU,6,1/04/2020
1/04/2020 0:00,Victoria,Ventilator,0,1/04/2020
1/04/2020 0:00,Western Australia,Hospital,24,1/04/2020
1/04/2020 0:00,Western Australia,ICU,8,1/04/2020
1/04/2020 0:00,Western Australia,Ventilator,0,1/04/2020
2/04/2020 0:00,NA,Hospital,415,2/04/2020
2/04/2020 0:00,NA,ICU,81,2/04/2020
2/04/2020 0:00,NA,Ventilator,32,2/04/2020
2/04/2020 0:00,Australian Capital Territory,Hospital,11,2/04/2020
2/04/2020 0:00,Australian Capital Territory,ICU,4,2/04/2020
2/04/2020 0:00,Australian Capital Territory,Ventilator,2,2/04/2020
2/04/2020 0:00,New South Wales,Hospital,231,2/04/2020
2/04/2020 0:00,New South Wales,ICU,43,2/04/2020
2/04/2020 0:00,New South Wales,Ventilator,21,2/04/2020
2/04/2020 0:00,Northern Territory,Hospital,18,2/04/2020
2/04/2020 0:00,Northern Territory,ICU,1,2/04/2020
2/04/2020 0:00,Northern Territory,Ventilator,1,2/04/2020
2/04/2020 0:00,Queensland,Hospital,60,2/04/2020
2/04/2020 0:00,Queensland,ICU,9,2/04/2020
2/04/2020 0:00,Queensland,Ventilator,8,2/04/2020
2/04/2020 0:00,South Australia,Hospital,19,2/04/2020
2/04/2020 0:00,South Australia,ICU,7,2/04/2020
2/04/2020 0:00,South Australia,Ventilator,0,2/04/2020
2/04/2020 0:00,Tasmania,Hospital,10,2/04/2020
2/04/2020 0:00,Tasmania,ICU,1,2/04/2020
2/04/2020 0:00,Tasmania,Ventilator,0,2/04/2020
2/04/2020 0:00,Victoria,Hospital,37,2/04/2020
2/04/2020 0:00,Victoria,ICU,7,2/04/2020
2/04/2020 0:00,Victoria,Ventilator,0,2/04/2020
2/04/2020 0:00,Western Australia,Hospital,29,2/04/2020
2/04/2020 0:00,Western Australia,ICU,9,2/04/2020
2/04/2020 0:00,Western Australia,Ventilator,0,2/04/2020
3/04/2020 0:00,NA,Hospital,410,3/04/2020
3/04/2020 0:00,NA,ICU,86,3/04/2020
3/04/2020 0:00,NA,Ventilator,32,3/04/2020
3/04/2020 0:00,Australian Capital Territory,Hospital,12,3/04/2020
3/04/2020 0:00,Australian Capital Territory,ICU,8,3/04/2020
3/04/2020 0:00,Australian Capital Territory,Ventilator,2,3/04/2020
3/04/2020 0:00,New South Wales,Hospital,231,3/04/2020
3/04/2020 0:00,New South Wales,ICU,42,3/04/2020
3/04/2020 0:00,New South Wales,Ventilator,22,3/04/2020
3/04/2020 0:00,Northern Territory,Hospital,19,3/04/2020
3/04/2020 0:00,Northern Territory,ICU,1,3/04/2020
3/04/2020 0:00,Northern Territory,Ventilator,0,3/04/2020
3/04/2020 0:00,Queensland,Hospital,54,3/04/2020
3/04/2020 0:00,Queensland,ICU,10,3/04/2020
3/04/2020 0:00,Queensland,Ventilator,8,3/04/2020
3/04/2020 0:00,South Australia,Hospital,18,3/04/2020
3/04/2020 0:00,South Australia,ICU,8,3/04/2020
3/04/2020 0:00,South Australia,Ventilator,0,3/04/2020
3/04/2020 0:00,Tasmania,Hospital,10,3/04/2020
3/04/2020 0:00,Tasmania,ICU,1,3/04/2020
3/04/2020 0:00,Tasmania,Ventilator,0,3/04/2020
3/04/2020 0:00,Victoria,Hospital,37,3/04/2020
3/04/2020 0:00,Victoria,ICU,7,3/04/2020
3/04/2020 0:00,Victoria,Ventilator,0,3/04/2020
3/04/2020 0:00,Western Australia,Hospital,29,3/04/2020
3/04/2020 0:00,Western Australia,ICU,9,3/04/2020
3/04/2020 0:00,Western Australia,Ventilator,0,3/04/2020
4/04/2020 0:00,NA,Hospital,460,4/04/2020
4/04/2020 0:00,NA,ICU,92,4/04/2020
4/04/2020 0:00,NA,Ventilator,33,4/04/2020
4/04/2020 0:00,Australian Capital Territory,Hospital,6,4/04/2020
4/04/2020 0:00,Australian Capital Territory,ICU,3,4/04/2020
4/04/2020 0:00,Australian Capital Territory,Ventilator,2,4/04/2020
4/04/2020 0:00,New South Wales,Hospital,251,4/04/2020
4/04/2020 0:00,New South Wales,ICU,41,4/04/2020
4/04/2020 0:00,New South Wales,Ventilator,23,4/04/2020
4/04/2020 0:00,Northern Territory,Hospital,23,4/04/2020
4/04/2020 0:00,Northern Territory,ICU,0,4/04/2020
4/04/2020 0:00,Northern Territory,Ventilator,0,4/04/2020
4/04/2020 0:00,Queensland,Hospital,47,4/04/2020
4/04/2020 0:00,Queensland,ICU,11,4/04/2020
4/04/2020 0:00,Queensland,Ventilator,8,4/04/2020
4/04/2020 0:00,South Australia,Hospital,19,4/04/2020
4/04/2020 0:00,South Australia,ICU,8,4/04/2020
4/04/2020 0:00,South Australia,Ventilator,0,4/04/2020
4/04/2020 0:00,Tasmania,Hospital,11,4/04/2020
4/04/2020 0:00,Tasmania,ICU,2,4/04/2020
4/04/2020 0:00,Tasmania,Ventilator,0,4/04/2020
4/04/2020 0:00,Victoria,Hospital,42,4/04/2020
4/04/2020 0:00,Victoria,ICU,10,4/04/2020
4/04/2020 0:00,Victoria,Ventilator,0,4/04/2020
4/04/2020 0:00,Western Australia,Hospital,61,4/04/2020
4/04/2020 0:00,Western Australia,ICU,17,4/04/2020
4/04/2020 0:00,Western Australia,Ventilator,0,4/04/2020
5/04/2020 0:00,NA,Hospital,460,5/04/2020
5/04/2020 0:00,NA,ICU,96,5/04/2020
5/04/2020 0:00,NA,Ventilator,33,5/04/2020
5/04/2020 0:00,Australian Capital Territory,Hospital,7,5/04/2020
5/04/2020 0:00,Australian Capital Territory,ICU,3,5/04/2020
5/04/2020 0:00,Australian Capital Territory,Ventilator,2,5/04/2020
5/04/2020 0:00,New South Wales,Hospital,250,5/04/2020
5/04/2020 0:00,New South Wales,ICU,40,5/04/2020
5/04/2020 0:00,New South Wales,Ventilator,23,5/04/2020
5/04/2020 0:00,Northern Territory,Hospital,24,5/04/2020
5/04/2020 0:00,Northern Territory,ICU,0,5/04/2020
5/04/2020 0:00,Northern Territory,Ventilator,0,5/04/2020
5/04/2020 0:00,Queensland,Hospital,43,5/04/2020
5/04/2020 0:00,Queensland,ICU,12,5/04/2020
5/04/2020 0:00,Queensland,Ventilator,8,5/04/2020
5/04/2020 0:00,South Australia,Hospital,20,5/04/2020
5/04/2020 0:00,South Australia,ICU,10,5/04/2020
5/04/2020 0:00,South Australia,Ventilator,0,5/04/2020
5/04/2020 0:00,Tasmania,Hospital,11,5/04/2020
5/04/2020 0:00,Tasmania,ICU,2,5/04/2020
5/04/2020 0:00,Tasmania,Ventilator,0,5/04/2020
5/04/2020 0:00,Victoria,Hospital,47,5/04/2020
5/04/2020 0:00,Victoria,ICU,11,5/04/2020
5/04/2020 0:00,Victoria,Ventilator,0,5/04/2020
5/04/2020 0:00,Western Australia,Hospital,58,5/04/2020
5/04/2020 0:00,Western Australia,ICU,18,5/04/2020
5/04/2020 0:00,Western Australia,Ventilator,0,5/04/2020
6/04/2020 0:00,NA,Hospital,458,6/04/2020
6/04/2020 0:00,NA,ICU,96,6/04/2020
6/04/2020 0:00,NA,Ventilator,35,6/04/2020
6/04/2020 0:00,Australian Capital Territory,Hospital,7,6/04/2020
6/04/2020 0:00,Australian Capital Territory,ICU,3,6/04/2020
6/04/2020 0:00,Australian Capital Territory,Ventilator,2,6/04/2020
6/04/2020 0:00,New South Wales,Hospital,250,6/04/2020
6/04/2020 0:00,New South Wales,ICU,40,6/04/2020
6/04/2020 0:00,New South Wales,Ventilator,23,6/04/2020
6/04/2020 0:00,Northern Territory,Hospital,24,6/04/2020
6/04/2020 0:00,Northern Territory,ICU,0,6/04/2020
6/04/2020 0:00,Northern Territory,Ventilator,0,6/04/2020
6/04/2020 0:00,Queensland,Hospital,43,6/04/2020
6/04/2020 0:00,Queensland,ICU,12,6/04/2020
6/04/2020 0:00,Queensland,Ventilator,10,6/04/2020
6/04/2020 0:00,South Australia,Hospital,20,6/04/2020
6/04/2020 0:00,South Australia,ICU,10,6/04/2020
6/04/2020 0:00,South Australia,Ventilator,0,6/04/2020
6/04/2020 0:00,Tasmania,Hospital,11,6/04/2020
6/04/2020 0:00,Tasmania,ICU,2,6/04/2020
6/04/2020 0:00,Tasmania,Ventilator,0,6/04/2020
6/04/2020 0:00,Victoria,Hospital,45,6/04/2020
6/04/2020 0:00,Victoria,ICU,11,6/04/2020
6/04/2020 0:00,Victoria,Ventilator,0,6/04/2020
6/04/2020 0:00,Western Australia,Hospital,58,6/04/2020
6/04/2020 0:00,Western Australia,ICU,18,6/04/2020
6/04/2020 0:00,Western Australia,Ventilator,0,6/04/2020
7/04/2020 0:00,NA,Hospital,305,7/04/2020
7/04/2020 0:00,NA,ICU,93,7/04/2020
7/04/2020 0:00,NA,Ventilator,37,7/04/2020
7/04/2020 0:00,Australian Capital Territory,Hospital,6,7/04/2020
7/04/2020 0:00,Australian Capital Territory,ICU,3,7/04/2020
7/04/2020 0:00,Australian Capital Territory,Ventilator,2,7/04/2020
7/04/2020 0:00,New South Wales,Hospital,103,7/04/2020
7/04/2020 0:00,New South Wales,ICU,37,7/04/2020
7/04/2020 0:00,New South Wales,Ventilator,24,7/04/2020
7/04/2020 0:00,Northern Territory,Hospital,24,7/04/2020
7/04/2020 0:00,Northern Territory,ICU,0,7/04/2020
7/04/2020 0:00,Northern Territory,Ventilator,0,7/04/2020
7/04/2020 0:00,Queensland,Hospital,42,7/04/2020
7/04/2020 0:00,Queensland,ICU,13,7/04/2020
7/04/2020 0:00,Queensland,Ventilator,11,7/04/2020
7/04/2020 0:00,South Australia,Hospital,16,7/04/2020
7/04/2020 0:00,South Australia,ICU,10,7/04/2020
7/04/2020 0:00,South Australia,Ventilator,0,7/04/2020
7/04/2020 0:00,Tasmania,Hospital,13,7/04/2020
7/04/2020 0:00,Tasmania,ICU,2,7/04/2020
7/04/2020 0:00,Tasmania,Ventilator,0,7/04/2020
7/04/2020 0:00,Victoria,Hospital,47,7/04/2020
7/04/2020 0:00,Victoria,ICU,13,7/04/2020
7/04/2020 0:00,Victoria,Ventilator,0,7/04/2020
7/04/2020 0:00,Western Australia,Hospital,54,7/04/2020
7/04/2020 0:00,Western Australia,ICU,15,7/04/2020
7/04/2020 0:00,Western Australia,Ventilator,0,7/04/2020
8/04/2020 0:00,NA,Hospital,263,8/04/2020
8/04/2020 0:00,NA,ICU,87,8/04/2020
8/04/2020 0:00,NA,Ventilator,36,8/04/2020
8/04/2020 0:00,Australian Capital Territory,Hospital,4,8/04/2020
8/04/2020 0:00,Australian Capital Territory,ICU,3,8/04/2020
8/04/2020 0:00,Australian Capital Territory,Ventilator,2,8/04/2020
8/04/2020 0:00,New South Wales,Hospital,92,8/04/2020
8/04/2020 0:00,New South Wales,ICU,36,8/04/2020
8/04/2020 0:00,New South Wales,Ventilator,23,8/04/2020
8/04/2020 0:00,Northern Territory,Hospital,24,8/04/2020
8/04/2020 0:00,Northern Territory,ICU,0,8/04/2020
8/04/2020 0:00,Northern Territory,Ventilator,0,8/04/2020
8/04/2020 0:00,Queensland,Hospital,35,8/04/2020
8/04/2020 0:00,Queensland,ICU,11,8/04/2020
8/04/2020 0:00,Queensland,Ventilator,11,8/04/2020
8/04/2020 0:00,South Australia,Hospital,16,8/04/2020
8/04/2020 0:00,South Australia,ICU,8,8/04/2020
8/04/2020 0:00,South Australia,Ventilator,0,8/04/2020
8/04/2020 0:00,Tasmania,Hospital,13,8/04/2020
8/04/2020 0:00,Tasmania,ICU,2,8/04/2020
8/04/2020 0:00,Tasmania,Ventilator,0,8/04/2020
8/04/2020 0:00,Victoria,Hospital,45,8/04/2020
8/04/2020 0:00,Victoria,ICU,12,8/04/2020
8/04/2020 0:00,Victoria,Ventilator,0,8/04/2020
8/04/2020 0:00,Western Australia,Hospital,34,8/04/2020
8/04/2020 0:00,Western Australia,ICU,15,8/04/2020
8/04/2020 0:00,Western Australia,Ventilator,0,8/04/2020
9/04/2020 0:00,NA,Hospital,262,9/04/2020
9/04/2020 0:00,NA,ICU,81,9/04/2020
9/04/2020 0:00,NA,Ventilator,36,9/04/2020
9/04/2020 0:00,Australian Capital Territory,Hospital,3,9/04/2020
9/04/2020 0:00,Australian Capital Territory,ICU,2,9/04/2020
9/04/2020 0:00,Australian Capital Territory,Ventilator,2,9/04/2020
9/04/2020 0:00,New South Wales,Hospital,88,9/04/2020
9/04/2020 0:00,New South Wales,ICU,31,9/04/2020
9/04/2020 0:00,New South Wales,Ventilator,22,9/04/2020
9/04/2020 0:00,Northern Territory,Hospital,24,9/04/2020
9/04/2020 0:00,Northern Territory,ICU,0,9/04/2020
9/04/2020 0:00,Northern Territory,Ventilator,0,9/04/2020
9/04/2020 0:00,Queensland,Hospital,33,9/04/2020
9/04/2020 0:00,Queensland,ICU,12,9/04/2020
9/04/2020 0:00,Queensland,Ventilator,12,9/04/2020
9/04/2020 0:00,South Australia,Hospital,15,9/04/2020
9/04/2020 0:00,South Australia,ICU,6,9/04/2020
9/04/2020 0:00,South Australia,Ventilator,0,9/04/2020
9/04/2020 0:00,Tasmania,Hospital,15,9/04/2020
9/04/2020 0:00,Tasmania,ICU,2,9/04/2020
9/04/2020 0:00,Tasmania,Ventilator,0,9/04/2020
9/04/2020 0:00,Victoria,Hospital,50,9/04/2020
9/04/2020 0:00,Victoria,ICU,13,9/04/2020
9/04/2020 0:00,Victoria,Ventilator,0,9/04/2020
9/04/2020 0:00,Western Australia,Hospital,34,9/04/2020
9/04/2020 0:00,Western Australia,ICU,15,9/04/2020
9/04/2020 0:00,Western Australia,Ventilator,0,9/04/2020
10/04/2020 0:00,NA,Hospital,236,10/04/2020
10/04/2020 0:00,NA,ICU,74,10/04/2020
10/04/2020 0:00,NA,Ventilator,38,10/04/2020
10/04/2020 0:00,Australian Capital Territory,Hospital,4,10/04/2020
10/04/2020 0:00,Australian Capital Territory,ICU,2,10/04/2020
10/04/2020 0:00,Australian Capital Territory,Ventilator,2,10/04/2020
10/04/2020 0:00,New South Wales,Hospital,83,10/04/2020
10/04/2020 0:00,New South Wales,ICU,29,10/04/2020
10/04/2020 0:00,New South Wales,Ventilator,24,10/04/2020
10/04/2020 0:00,Northern Territory,Hospital,24,10/04/2020
10/04/2020 0:00,Northern Territory,ICU,0,10/04/2020
10/04/2020 0:00,Northern Territory,Ventilator,0,10/04/2020
10/04/2020 0:00,Queensland,Hospital,36,10/04/2020
10/04/2020 0:00,Queensland,ICU,12,10/04/2020
10/04/2020 0:00,Queensland,Ventilator,12,10/04/2020
10/04/2020 0:00,South Australia,Hospital,15,10/04/2020
10/04/2020 0:00,South Australia,ICU,6,10/04/2020
10/04/2020 0:00,South Australia,Ventilator,0,10/04/2020
10/04/2020 0:00,Tasmania,Hospital,8,10/04/2020
10/04/2020 0:00,Tasmania,ICU,2,10/04/2020
10/04/2020 0:00,Tasmania,Ventilator,0,10/04/2020
10/04/2020 0:00,Victoria,Hospital,43,10/04/2020
10/04/2020 0:00,Victoria,ICU,13,10/04/2020
10/04/2020 0:00,Victoria,Ventilator,0,10/04/2020
10/04/2020 0:00,Western Australia,Hospital,23,10/04/2020
10/04/2020 0:00,Western Australia,ICU,10,10/04/2020
10/04/2020 0:00,Western Australia,Ventilator,0,10/04/2020
11/04/2020 0:00,NA,Hospital,240,11/04/2020
11/04/2020 0:00,NA,ICU,80,11/04/2020
11/04/2020 0:00,NA,Ventilator,38,11/04/2020
11/04/2020 0:00,Australian Capital Territory,Hospital,4,11/04/2020
11/04/2020 0:00,Australian Capital Territory,ICU,2,11/04/2020
11/04/2020 0:00,Australian Capital Territory,Ventilator,2,11/04/2020
11/04/2020 0:00,New South Wales,Hospital,78,11/04/2020
11/04/2020 0:00,New South Wales,ICU,30,11/04/2020
11/04/2020 0:00,New South Wales,Ventilator,24,11/04/2020
11/04/2020 0:00,Northern Territory,Hospital,24,11/04/2020
11/04/2020 0:00,Northern Territory,ICU,0,11/04/2020
11/04/2020 0:00,Northern Territory,Ventilator,0,11/04/2020
11/04/2020 0:00,Queensland,Hospital,28,11/04/2020
11/04/2020 0:00,Queensland,ICU,12,11/04/2020
11/04/2020 0:00,Queensland,Ventilator,12,11/04/2020
11/04/2020 0:00,South Australia,Hospital,15,11/04/2020
11/04/2020 0:00,South Australia,ICU,7,11/04/2020
11/04/2020 0:00,South Australia,Ventilator,0,11/04/2020
11/04/2020 0:00,Tasmania,Hospital,8,11/04/2020
11/04/2020 0:00,Tasmania,ICU,2,11/04/2020
11/04/2020 0:00,Tasmania,Ventilator,0,11/04/2020
11/04/2020 0:00,Victoria,Hospital,44,11/04/2020
11/04/2020 0:00,Victoria,ICU,15,11/04/2020
11/04/2020 0:00,Victoria,Ventilator,0,11/04/2020
11/04/2020 0:00,Western Australia,Hospital,39,11/04/2020
11/04/2020 0:00,Western Australia,ICU,12,11/04/2020
11/04/2020 0:00,Western Australia,Ventilator,0,11/04/2020
12/04/2020 0:00,NA,Hospital,239,12/04/2020
12/04/2020 0:00,NA,ICU,81,12/04/2020
12/04/2020 0:00,NA,Ventilator,35,12/04/2020
12/04/2020 0:00,Australian Capital Territory,Hospital,3,12/04/2020
12/04/2020 0:00,Australian Capital Territory,ICU,2,12/04/2020
12/04/2020 0:00,Australian Capital Territory,Ventilator,2,12/04/2020
12/04/2020 0:00,New South Wales,Hospital,78,12/04/2020
12/04/2020 0:00,New South Wales,ICU,30,12/04/2020
12/04/2020 0:00,New South Wales,Ventilator,22,12/04/2020
12/04/2020 0:00,Northern Territory,Hospital,22,12/04/2020
12/04/2020 0:00,Northern Territory,ICU,0,12/04/2020
12/04/2020 0:00,Northern Territory,Ventilator,0,12/04/2020
12/04/2020 0:00,Queensland,Hospital,30,12/04/2020
12/04/2020 0:00,Queensland,ICU,12,12/04/2020
12/04/2020 0:00,Queensland,Ventilator,11,12/04/2020
12/04/2020 0:00,South Australia,Hospital,14,12/04/2020
12/04/2020 0:00,South Australia,ICU,6,12/04/2020
12/04/2020 0:00,South Australia,Ventilator,0,12/04/2020
12/04/2020 0:00,Tasmania,Hospital,10,12/04/2020
12/04/2020 0:00,Tasmania,ICU,2,12/04/2020
12/04/2020 0:00,Tasmania,Ventilator,0,12/04/2020
12/04/2020 0:00,Victoria,Hospital,44,12/04/2020
12/04/2020 0:00,Victoria,ICU,14,12/04/2020
12/04/2020 0:00,Victoria,Ventilator,0,12/04/2020
12/04/2020 0:00,Western Australia,Hospital,38,12/04/2020
12/04/2020 0:00,Western Australia,ICU,15,12/04/2020
12/04/2020 0:00,Western Australia,Ventilator,0,12/04/2020
13/04/2020 0:00,NA,Hospital,227,13/04/2020
13/04/2020 0:00,NA,ICU,79,13/04/2020
13/04/2020 0:00,NA,Ventilator,46,13/04/2020
13/04/2020 0:00,Australian Capital Territory,Hospital,3,13/04/2020
13/04/2020 0:00,Australian Capital Territory,ICU,2,13/04/2020
13/04/2020 0:00,Australian Capital Territory,Ventilator,1,13/04/2020
13/04/2020 0:00,New South Wales,Hospital,77,13/04/2020
13/04/2020 0:00,New South Wales,ICU,30,13/04/2020
13/04/2020 0:00,New South Wales,Ventilator,22,13/04/2020
13/04/2020 0:00,Northern Territory,Hospital,22,13/04/2020
13/04/2020 0:00,Northern Territory,ICU,0,13/04/2020
13/04/2020 0:00,Northern Territory,Ventilator,0,13/04/2020
13/04/2020 0:00,Queensland,Hospital,23,13/04/2020
13/04/2020 0:00,Queensland,ICU,11,13/04/2020
13/04/2020 0:00,Queensland,Ventilator,11,13/04/2020
13/04/2020 0:00,South Australia,Hospital,13,13/04/2020
13/04/2020 0:00,South Australia,ICU,6,13/04/2020
13/04/2020 0:00,South Australia,Ventilator,0,13/04/2020
13/04/2020 0:00,Tasmania,Hospital,11,13/04/2020
13/04/2020 0:00,Tasmania,ICU,2,13/04/2020
13/04/2020 0:00,Tasmania,Ventilator,0,13/04/2020
13/04/2020 0:00,Victoria,Hospital,40,13/04/2020
13/04/2020 0:00,Victoria,ICU,14,13/04/2020
13/04/2020 0:00,Victoria,Ventilator,12,13/04/2020
13/04/2020 0:00,Western Australia,Hospital,38,13/04/2020
13/04/2020 0:00,Western Australia,ICU,14,13/04/2020
13/04/2020 0:00,Western Australia,Ventilator,0,13/04/2020
14/04/2020 0:00,NA,Hospital,230,14/04/2020
14/04/2020 0:00,NA,ICU,80,14/04/2020
14/04/2020 0:00,NA,Ventilator,44,14/04/2020
14/04/2020 0:00,Australian Capital Territory,Hospital,3,14/04/2020
14/04/2020 0:00,Australian Capital Territory,ICU,2,14/04/2020
14/04/2020 0:00,Australian Capital Territory,Ventilator,1,14/04/2020
14/04/2020 0:00,New South Wales,Hospital,80,14/04/2020
14/04/2020 0:00,New South Wales,ICU,32,14/04/2020
14/04/2020 0:00,New South Wales,Ventilator,20,14/04/2020
14/04/2020 0:00,Northern Territory,Hospital,22,14/04/2020
14/04/2020 0:00,Northern Territory,ICU,0,14/04/2020
14/04/2020 0:00,Northern Territory,Ventilator,0,14/04/2020
14/04/2020 0:00,Queensland,Hospital,24,14/04/2020
14/04/2020 0:00,Queensland,ICU,11,14/04/2020
14/04/2020 0:00,Queensland,Ventilator,11,14/04/2020
14/04/2020 0:00,South Australia,Hospital,11,14/04/2020
14/04/2020 0:00,South Australia,ICU,4,14/04/2020
14/04/2020 0:00,South Australia,Ventilator,0,14/04/2020
14/04/2020 0:00,Tasmania,Hospital,12,14/04/2020
14/04/2020 0:00,Tasmania,ICU,2,14/04/2020
14/04/2020 0:00,Tasmania,Ventilator,0,14/04/2020
14/04/2020 0:00,Victoria,Hospital,40,14/04/2020
14/04/2020 0:00,Victoria,ICU,15,14/04/2020
14/04/2020 0:00,Victoria,Ventilator,12,14/04/2020
14/04/2020 0:00,Western Australia,Hospital,38,14/04/2020
14/04/2020 0:00,Western Australia,ICU,14,14/04/2020
14/04/2020 0:00,Western Australia,Ventilator,0,14/04/2020
15/04/2020 0:00,NA,Hospital,214,15/04/2020
15/04/2020 0:00,NA,ICU,73,15/04/2020
15/04/2020 0:00,NA,Ventilator,42,15/04/2020
15/04/2020 0:00,Australian Capital Territory,Hospital,2,15/04/2020
15/04/2020 0:00,Australian Capital Territory,ICU,1,15/04/2020
15/04/2020 0:00,Australian Capital Territory,Ventilator,1,15/04/2020
15/04/2020 0:00,New South Wales,Hospital,73,15/04/2020
15/04/2020 0:00,New South Wales,ICU,29,15/04/2020
15/04/2020 0:00,New South Wales,Ventilator,19,15/04/2020
15/04/2020 0:00,Northern Territory,Hospital,21,15/04/2020
15/04/2020 0:00,Northern Territory,ICU,0,15/04/2020
15/04/2020 0:00,Northern Territory,Ventilator,0,15/04/2020
15/04/2020 0:00,Queensland,Hospital,23,15/04/2020
15/04/2020 0:00,Queensland,ICU,11,15/04/2020
15/04/2020 0:00,Queensland,Ventilator,10,15/04/2020
15/04/2020 0:00,South Australia,Hospital,10,15/04/2020
15/04/2020 0:00,South Australia,ICU,4,15/04/2020
15/04/2020 0:00,South Australia,Ventilator,0,15/04/2020
15/04/2020 0:00,Tasmania,Hospital,13,15/04/2020
15/04/2020 0:00,Tasmania,ICU,2,15/04/2020
15/04/2020 0:00,Tasmania,Ventilator,0,15/04/2020
15/04/2020 0:00,Victoria,Hospital,39,15/04/2020
15/04/2020 0:00,Victoria,ICU,18,15/04/2020
15/04/2020 0:00,Victoria,Ventilator,12,15/04/2020
15/04/2020 0:00,Western Australia,Hospital,33,15/04/2020
15/04/2020 0:00,Western Australia,ICU,8,15/04/2020
15/04/2020 0:00,Western Australia,Ventilator,0,15/04/2020
16/04/2020 0:00,NA,Hospital,201,16/04/2020
16/04/2020 0:00,NA,ICU,67,16/04/2020
16/04/2020 0:00,NA,Ventilator,38,16/04/2020
16/04/2020 0:00,Australian Capital Territory,Hospital,2,16/04/2020
16/04/2020 0:00,Australian Capital Territory,ICU,1,16/04/2020
16/04/2020 0:00,Australian Capital Territory,Ventilator,0,16/04/2020
16/04/2020 0:00,New South Wales,Hospital,64,16/04/2020
16/04/2020 0:00,New South Wales,ICU,26,16/04/2020
16/04/2020 0:00,New South Wales,Ventilator,20,16/04/2020
16/04/2020 0:00,Northern Territory,Hospital,20,16/04/2020
16/04/2020 0:00,Northern Territory,ICU,0,16/04/2020
16/04/2020 0:00,Northern Territory,Ventilator,0,16/04/2020
16/04/2020 0:00,Queensland,Hospital,21,16/04/2020
16/04/2020 0:00,Queensland,ICU,11,16/04/2020
16/04/2020 0:00,Queensland,Ventilator,9,16/04/2020
16/04/2020 0:00,South Australia,Hospital,10,16/04/2020
16/04/2020 0:00,South Australia,ICU,4,16/04/2020
16/04/2020 0:00,South Australia,Ventilator,0,16/04/2020
16/04/2020 0:00,Tasmania,Hospital,15,16/04/2020
16/04/2020 0:00,Tasmania,ICU,2,16/04/2020
