state,state_abbrev,date_us,Attribute,Value
Victoria,VIC,28/01/2020,icu_cum,0
Victoria,VIC,28/01/2020,vent_cum,0
New South Wales,NSW,28/01/2020,hosp_cum,0
New South Wales,NSW,28/01/2020,icu_cum,0
New South Wales,NSW,28/01/2020,vent_cum,0
Australian Capital Territory,ACT,29/01/2020,hosp_cum,0
Australian Capital Territory,ACT,29/01/2020,icu_cum,0
Australian Capital Territory,ACT,29/01/2020,vent_cum,0
Northern Territory,NT,29/01/2020,hosp_cum,0
Northern Territory,NT,29/01/2020,icu_cum,0
Northern Territory,NT,29/01/2020,vent_cum,0
South Australia,SA,29/01/2020,hosp_cum,0
South Australia,SA,29/01/2020,icu_cum,0
South Australia,SA,29/01/2020,vent_cum,0
Tasmania,TAS,29/01/2020,hosp_cum,0
Tasmania,TAS,29/01/2020,icu_cum,0
Tasmania,TAS,29/01/2020,vent_cum,0
Western Australia,WA,29/01/2020,hosp_cum,0
Western Australia,WA,29/01/2020,icu_cum,0
Western Australia,WA,29/01/2020,vent_cum,0
New South Wales,NSW,29/01/2020,hosp_cum,0
New South Wales,NSW,29/01/2020,icu_cum,0
New South Wales,NSW,29/01/2020,vent_cum,0
Queensland,QLD,29/01/2020,hosp_cum,0
Queensland,QLD,29/01/2020,icu_cum,0
Queensland,QLD,29/01/2020,vent_cum,0
Victoria,VIC,29/01/2020,hosp_cum,0
Victoria,VIC,29/01/2020,icu_cum,0
Victoria,VIC,29/01/2020,vent_cum,0
Australian Capital Territory,ACT,30/01/2020,hosp_cum,0
Australian Capital Territory,ACT,30/01/2020,icu_cum,0
Australian Capital Territory,ACT,30/01/2020,vent_cum,0
Northern Territory,NT,30/01/2020,hosp_cum,0
Northern Territory,NT,30/01/2020,icu_cum,0
Northern Territory,NT,30/01/2020,vent_cum,0
South Australia,SA,30/01/2020,hosp_cum,0
South Australia,SA,30/01/2020,icu_cum,0
South Australia,SA,30/01/2020,vent_cum,0
Tasmania,TAS,30/01/2020,hosp_cum,0
Tasmania,TAS,30/01/2020,icu_cum,0
Tasmania,TAS,30/01/2020,vent_cum,0
Western Australia,WA,30/01/2020,hosp_cum,0
Western Australia,WA,30/01/2020,icu_cum,0
Western Australia,WA,30/01/2020,vent_cum,0
Queensland,QLD,30/01/2020,hosp_cum,0
Queensland,QLD,30/01/2020,icu_cum,0
Queensland,QLD,30/01/2020,vent_cum,0
Victoria,VIC,30/01/2020,hosp_cum,0
Victoria,VIC,30/01/2020,icu_cum,0
Victoria,VIC,30/01/2020,vent_cum,0
New South Wales,NSW,30/01/2020,hosp_cum,0
New South Wales,NSW,30/01/2020,icu_cum,0
New South Wales,NSW,30/01/2020,vent_cum,0
Australian Capital Territory,ACT,31/01/2020,hosp_cum,0
Australian Capital Territory,ACT,31/01/2020,icu_cum,0
Australian Capital Territory,ACT,31/01/2020,vent_cum,0
Northern Territory,NT,31/01/2020,hosp_cum,0
Northern Territory,NT,31/01/2020,icu_cum,0
Northern Territory,NT,31/01/2020,vent_cum,0
South Australia,SA,31/01/2020,hosp_cum,0
South Australia,SA,31/01/2020,icu_cum,0
South Australia,SA,31/01/2020,vent_cum,0
Tasmania,TAS,31/01/2020,hosp_cum,0
Tasmania,TAS,31/01/2020,icu_cum,0
Tasmania,TAS,31/01/2020,vent_cum,0
Western Australia,WA,31/01/2020,hosp_cum,0
Western Australia,WA,31/01/2020,icu_cum,0
Western Australia,WA,31/01/2020,vent_cum,0
Queensland,QLD,31/01/2020,hosp_cum,0
Queensland,QLD,31/01/2020,icu_cum,0
Queensland,QLD,31/01/2020,vent_cum,0
Victoria,VIC,31/01/2020,hosp_cum,0
Victoria,VIC,31/01/2020,icu_cum,0
Victoria,VIC,31/01/2020,vent_cum,0
New South Wales,NSW,31/01/2020,hosp_cum,0
New South Wales,NSW,31/01/2020,icu_cum,0
New South Wales,NSW,31/01/2020,vent_cum,0
Australian Capital Territory,ACT,1/02/2020,hosp_cum,0
Australian Capital Territory,ACT,1/02/2020,icu_cum,0
Australian Capital Territory,ACT,1/02/2020,vent_cum,0
Northern Territory,NT,1/02/2020,hosp_cum,0
Northern Territory,NT,1/02/2020,icu_cum,0
Northern Territory,NT,1/02/2020,vent_cum,0
South Australia,SA,1/02/2020,hosp_cum,0
South Australia,SA,1/02/2020,icu_cum,0
South Australia,SA,1/02/2020,vent_cum,0
Tasmania,TAS,1/02/2020,hosp_cum,0
Tasmania,TAS,1/02/2020,icu_cum,0
Tasmania,TAS,1/02/2020,vent_cum,0
Western Australia,WA,1/02/2020,hosp_cum,0
Western Australia,WA,1/02/2020,icu_cum,0
Western Australia,WA,1/02/2020,vent_cum,0
Queensland,QLD,1/02/2020,hosp_cum,0
Queensland,QLD,1/02/2020,icu_cum,0
Queensland,QLD,1/02/2020,vent_cum,0
New South Wales,NSW,1/02/2020,hosp_cum,0
New South Wales,NSW,1/02/2020,icu_cum,0
New South Wales,NSW,1/02/2020,vent_cum,0
Victoria,VIC,1/02/2020,hosp_cum,0
Victoria,VIC,1/02/2020,icu_cum,0
Victoria,VIC,1/02/2020,vent_cum,0
Australian Capital Territory,ACT,2/02/2020,hosp_cum,0
Australian Capital Territory,ACT,2/02/2020,icu_cum,0
Australian Capital Territory,ACT,2/02/2020,vent_cum,0
Northern Territory,NT,2/02/2020,hosp_cum,0
Northern Territory,NT,2/02/2020,icu_cum,0
Northern Territory,NT,2/02/2020,vent_cum,0
Tasmania,TAS,2/02/2020,hosp_cum,0
Tasmania,TAS,2/02/2020,icu_cum,0
Tasmania,TAS,2/02/2020,vent_cum,0
Western Australia,WA,2/02/2020,hosp_cum,0
Western Australia,WA,2/02/2020,icu_cum,0
Western Australia,WA,2/02/2020,vent_cum,0
Queensland,QLD,2/02/2020,hosp_cum,0
Queensland,QLD,2/02/2020,icu_cum,0
Queensland,QLD,2/02/2020,vent_cum,0
New South Wales,NSW,2/02/2020,hosp_cum,0
New South Wales,NSW,2/02/2020,icu_cum,0
New South Wales,NSW,2/02/2020,vent_cum,0
Victoria,VIC,2/02/2020,hosp_cum,0
Victoria,VIC,2/02/2020,icu_cum,0
Victoria,VIC,2/02/2020,vent_cum,0
South Australia,SA,2/02/2020,hosp_cum,0
South Australia,SA,2/02/2020,icu_cum,0
South Australia,SA,2/02/2020,vent_cum,0
Australian Capital Territory,ACT,3/02/2020,hosp_cum,0
Australian Capital Territory,ACT,3/02/2020,icu_cum,0
Australian Capital Territory,ACT,3/02/2020,vent_cum,0
Northern Territory,NT,3/02/2020,hosp_cum,0
Northern Territory,NT,3/02/2020,icu_cum,0
Northern Territory,NT,3/02/2020,vent_cum,0
Tasmania,TAS,3/02/2020,hosp_cum,0
Tasmania,TAS,3/02/2020,icu_cum,0
Tasmania,TAS,3/02/2020,vent_cum,0
Western Australia,WA,3/02/2020,hosp_cum,0
Western Australia,WA,3/02/2020,icu_cum,0
Western Australia,WA,3/02/2020,vent_cum,0
Queensland,QLD,3/02/2020,hosp_cum,0
Queensland,QLD,3/02/2020,icu_cum,0
Queensland,QLD,3/02/2020,vent_cum,0
South Australia,SA,3/02/2020,hosp_cum,0
South Australia,SA,3/02/2020,icu_cum,0
South Australia,SA,3/02/2020,vent_cum,0
New South Wales,NSW,3/02/2020,hosp_cum,0
New South Wales,NSW,3/02/2020,icu_cum,0
New South Wales,NSW,3/02/2020,vent_cum,0
Victoria,VIC,3/02/2020,hosp_cum,0
Victoria,VIC,3/02/2020,icu_cum,0
Victoria,VIC,3/02/2020,vent_cum,0
Australian Capital Territory,ACT,4/02/2020,hosp_cum,0
Australian Capital Territory,ACT,4/02/2020,icu_cum,0
Australian Capital Territory,ACT,4/02/2020,vent_cum,0
Northern Territory,NT,4/02/2020,hosp_cum,0
Northern Territory,NT,4/02/2020,icu_cum,0
Northern Territory,NT,4/02/2020,vent_cum,0
Tasmania,TAS,4/02/2020,hosp_cum,0
Tasmania,TAS,4/02/2020,icu_cum,0
Tasmania,TAS,4/02/2020,vent_cum,0
Western Australia,WA,4/02/2020,hosp_cum,0
Western Australia,WA,4/02/2020,icu_cum,0
Western Australia,WA,4/02/2020,vent_cum,0
South Australia,SA,4/02/2020,hosp_cum,0
South Australia,SA,4/02/2020,icu_cum,0
South Australia,SA,4/02/2020,vent_cum,0
New South Wales,NSW,4/02/2020,hosp_cum,0
New South Wales,NSW,4/02/2020,icu_cum,0
New South Wales,NSW,4/02/2020,vent_cum,0
Victoria,VIC,4/02/2020,hosp_cum,0
Victoria,VIC,4/02/2020,icu_cum,0
Victoria,VIC,4/02/2020,vent_cum,0
Queensland,QLD,4/02/2020,hosp_cum,0
Queensland,QLD,4/02/2020,icu_cum,0
Queensland,QLD,4/02/2020,vent_cum,0
Australian Capital Territory,ACT,5/02/2020,hosp_cum,0
Australian Capital Territory,ACT,5/02/2020,icu_cum,0
Australian Capital Territory,ACT,5/02/2020,vent_cum,0
Northern Territory,NT,5/02/2020,hosp_cum,0
Northern Territory,NT,5/02/2020,icu_cum,0
Northern Territory,NT,5/02/2020,vent_cum,0
Tasmania,TAS,5/02/2020,hosp_cum,0
Tasmania,TAS,5/02/2020,icu_cum,0
Tasmania,TAS,5/02/2020,vent_cum,0
Western Australia,WA,5/02/2020,hosp_cum,0
Western Australia,WA,5/02/2020,icu_cum,0
Western Australia,WA,5/02/2020,vent_cum,0
South Australia,SA,5/02/2020,hosp_cum,0
South Australia,SA,5/02/2020,icu_cum,0
South Australia,SA,5/02/2020,vent_cum,0
New South Wales,NSW,5/02/2020,hosp_cum,0
New South Wales,NSW,5/02/2020,icu_cum,0
New South Wales,NSW,5/02/2020,vent_cum,0
Victoria,VIC,5/02/2020,hosp_cum,0
Victoria,VIC,5/02/2020,icu_cum,0
Victoria,VIC,5/02/2020,vent_cum,0
Queensland,QLD,5/02/2020,hosp_cum,0
Queensland,QLD,5/02/2020,icu_cum,0
Queensland,QLD,5/02/2020,vent_cum,0
Australian Capital Territory,ACT,6/02/2020,hosp_cum,0
Australian Capital Territory,ACT,6/02/2020,icu_cum,0
Australian Capital Territory,ACT,6/02/2020,vent_cum,0
Northern Territory,NT,6/02/2020,hosp_cum,0
Northern Territory,NT,6/02/2020,icu_cum,0
Northern Territory,NT,6/02/2020,vent_cum,0
Tasmania,TAS,6/02/2020,hosp_cum,0
Tasmania,TAS,6/02/2020,icu_cum,0
Tasmania,TAS,6/02/2020,vent_cum,0
Western Australia,WA,6/02/2020,hosp_cum,0
Western Australia,WA,6/02/2020,icu_cum,0
Western Australia,WA,6/02/2020,vent_cum,0
South Australia,SA,6/02/2020,hosp_cum,0
South Australia,SA,6/02/2020,icu_cum,0
South Australia,SA,6/02/2020,vent_cum,0
New South Wales,NSW,6/02/2020,hosp_cum,0
New South Wales,NSW,6/02/2020,icu_cum,0
New South Wales,NSW,6/02/2020,vent_cum,0
Victoria,VIC,6/02/2020,hosp_cum,0
Victoria,VIC,6/02/2020,icu_cum,0
Victoria,VIC,6/02/2020,vent_cum,0
Queensland,QLD,6/02/2020,hosp_cum,0
Queensland,QLD,6/02/2020,icu_cum,0
Queensland,QLD,6/02/2020,vent_cum,0
Australian Capital Territory,ACT,7/02/2020,hosp_cum,0
Australian Capital Territory,ACT,7/02/2020,icu_cum,0
Australian Capital Territory,ACT,7/02/2020,vent_cum,0
Northern Territory,NT,7/02/2020,hosp_cum,0
Northern Territory,NT,7/02/2020,icu_cum,0
Northern Territory,NT,7/02/2020,vent_cum,0
Tasmania,TAS,7/02/2020,hosp_cum,0
Tasmania,TAS,7/02/2020,icu_cum,0
Tasmania,TAS,7/02/2020,vent_cum,0
Western Australia,WA,7/02/2020,hosp_cum,0
Western Australia,WA,7/02/2020,icu_cum,0
Western Australia,WA,7/02/2020,vent_cum,0
South Australia,SA,7/02/2020,hosp_cum,0
South Australia,SA,7/02/2020,icu_cum,0
South Australia,SA,7/02/2020,vent_cum,0
New South Wales,NSW,7/02/2020,hosp_cum,0
New South Wales,NSW,7/02/2020,icu_cum,0
New South Wales,NSW,7/02/2020,vent_cum,0
Victoria,VIC,7/02/2020,hosp_cum,0
Victoria,VIC,7/02/2020,icu_cum,0
Victoria,VIC,7/02/2020,vent_cum,0
Queensland,QLD,7/02/2020,hosp_cum,0
Queensland,QLD,7/02/2020,icu_cum,0
Queensland,QLD,7/02/2020,vent_cum,0
Australian Capital Territory,ACT,8/02/2020,hosp_cum,0
Australian Capital Territory,ACT,8/02/2020,icu_cum,0
Australian Capital Territory,ACT,8/02/2020,vent_cum,0
Northern Territory,NT,8/02/2020,hosp_cum,0
Northern Territory,NT,8/02/2020,icu_cum,0
Northern Territory,NT,8/02/2020,vent_cum,0
Tasmania,TAS,8/02/2020,hosp_cum,0
Tasmania,TAS,8/02/2020,icu_cum,0
Tasmania,TAS,8/02/2020,vent_cum,0
Western Australia,WA,8/02/2020,hosp_cum,0
Western Australia,WA,8/02/2020,icu_cum,0
Western Australia,WA,8/02/2020,vent_cum,0
South Australia,SA,8/02/2020,hosp_cum,0
South Australia,SA,8/02/2020,icu_cum,0
South Australia,SA,8/02/2020,vent_cum,0
New South Wales,NSW,8/02/2020,hosp_cum,0
New South Wales,NSW,8/02/2020,icu_cum,0
New South Wales,NSW,8/02/2020,vent_cum,0
Victoria,VIC,8/02/2020,hosp_cum,0
Victoria,VIC,8/02/2020,icu_cum,0
Victoria,VIC,8/02/2020,vent_cum,0
Queensland,QLD,8/02/2020,hosp_cum,0
Queensland,QLD,8/02/2020,icu_cum,0
Queensland,QLD,8/02/2020,vent_cum,0
Australian Capital Territory,ACT,9/02/2020,hosp_cum,0
Australian Capital Territory,ACT,9/02/2020,icu_cum,0
Australian Capital Territory,ACT,9/02/2020,vent_cum,0
Northern Territory,NT,9/02/2020,hosp_cum,0
Northern Territory,NT,9/02/2020,icu_cum,0
Northern Territory,NT,9/02/2020,vent_cum,0
Tasmania,TAS,9/02/2020,hosp_cum,0
Tasmania,TAS,9/02/2020,icu_cum,0
Tasmania,TAS,9/02/2020,vent_cum,0
Western Australia,WA,9/02/2020,hosp_cum,0
Western Australia,WA,9/02/2020,icu_cum,0
Western Australia,WA,9/02/2020,vent_cum,0
South Australia,SA,9/02/2020,hosp_cum,0
South Australia,SA,9/02/2020,icu_cum,0
South Australia,SA,9/02/2020,vent_cum,0
New South Wales,NSW,9/02/2020,hosp_cum,0
New South Wales,NSW,9/02/2020,icu_cum,0
New South Wales,NSW,9/02/2020,vent_cum,0
Victoria,VIC,9/02/2020,hosp_cum,0
Victoria,VIC,9/02/2020,icu_cum,0
Victoria,VIC,9/02/2020,vent_cum,0
Queensland,QLD,9/02/2020,hosp_cum,0
Queensland,QLD,9/02/2020,icu_cum,0
Queensland,QLD,9/02/2020,vent_cum,0
Australian Capital Territory,ACT,10/02/2020,hosp_cum,0
Australian Capital Territory,ACT,10/02/2020,icu_cum,0
Australian Capital Territory,ACT,10/02/2020,vent_cum,0
Northern Territory,NT,10/02/2020,hosp_cum,0
Northern Territory,NT,10/02/2020,icu_cum,0
Northern Territory,NT,10/02/2020,vent_cum,0
Tasmania,TAS,10/02/2020,hosp_cum,0
Tasmania,TAS,10/02/2020,icu_cum,0
Tasmania,TAS,10/02/2020,vent_cum,0
Western Australia,WA,10/02/2020,hosp_cum,0
Western Australia,WA,10/02/2020,icu_cum,0
Western Australia,WA,10/02/2020,vent_cum,0
South Australia,SA,10/02/2020,hosp_cum,0
South Australia,SA,10/02/2020,icu_cum,0
South Australia,SA,10/02/2020,vent_cum,0
New South Wales,NSW,10/02/2020,hosp_cum,0
New South Wales,NSW,10/02/2020,icu_cum,0
New South Wales,NSW,10/02/2020,vent_cum,0
Victoria,VIC,10/02/2020,hosp_cum,0
Victoria,VIC,10/02/2020,icu_cum,0
Victoria,VIC,10/02/2020,vent_cum,0
Queensland,QLD,10/02/2020,hosp_cum,0
Queensland,QLD,10/02/2020,icu_cum,0
Queensland,QLD,10/02/2020,vent_cum,0
Australian Capital Territory,ACT,11/02/2020,hosp_cum,0
Australian Capital Territory,ACT,11/02/2020,icu_cum,0
Australian Capital Territory,ACT,11/02/2020,vent_cum,0
Northern Territory,NT,11/02/2020,hosp_cum,0
Northern Territory,NT,11/02/2020,icu_cum,0
Northern Territory,NT,11/02/2020,vent_cum,0
Tasmania,TAS,11/02/2020,hosp_cum,0
Tasmania,TAS,11/02/2020,icu_cum,0
Tasmania,TAS,11/02/2020,vent_cum,0
Western Australia,WA,11/02/2020,hosp_cum,0
Western Australia,WA,11/02/2020,icu_cum,0
Western Australia,WA,11/02/2020,vent_cum,0
South Australia,SA,11/02/2020,hosp_cum,0
South Australia,SA,11/02/2020,icu_cum,0
South Australia,SA,11/02/2020,vent_cum,0
New South Wales,NSW,11/02/2020,hosp_cum,0
New South Wales,NSW,11/02/2020,icu_cum,0
New South Wales,NSW,11/02/2020,vent_cum,0
Victoria,VIC,11/02/2020,hosp_cum,0
Victoria,VIC,11/02/2020,icu_cum,0
Victoria,VIC,11/02/2020,vent_cum,0
Queensland,QLD,11/02/2020,hosp_cum,0
Queensland,QLD,11/02/2020,icu_cum,0
Queensland,QLD,11/02/2020,vent_cum,0
Australian Capital Territory,ACT,12/02/2020,hosp_cum,0
Australian Capital Territory,ACT,12/02/2020,icu_cum,0
Australian Capital Territory,ACT,12/02/2020,vent_cum,0
Northern Territory,NT,12/02/2020,hosp_cum,0
Northern Territory,NT,12/02/2020,icu_cum,0
Northern Territory,NT,12/02/2020,vent_cum,0
Tasmania,TAS,12/02/2020,hosp_cum,0
Tasmania,TAS,12/02/2020,icu_cum,0
Tasmania,TAS,12/02/2020,vent_cum,0
Western Australia,WA,12/02/2020,hosp_cum,0
Western Australia,WA,12/02/2020,icu_cum,0
Western Australia,WA,12/02/2020,vent_cum,0
South Australia,SA,12/02/2020,hosp_cum,0
South Australia,SA,12/02/2020,icu_cum,0
South Australia,SA,12/02/2020,vent_cum,0
New South Wales,NSW,12/02/2020,hosp_cum,0
New South Wales,NSW,12/02/2020,icu_cum,0
New South Wales,NSW,12/02/2020,vent_cum,0
Victoria,VIC,12/02/2020,hosp_cum,0
Victoria,VIC,12/02/2020,icu_cum,0
Victoria,VIC,12/02/2020,vent_cum,0
Queensland,QLD,12/02/2020,hosp_cum,0
Queensland,QLD,12/02/2020,icu_cum,0
Queensland,QLD,12/02/2020,vent_cum,0
Australian Capital Territory,ACT,13/02/2020,hosp_cum,0
Australian Capital Territory,ACT,13/02/2020,icu_cum,0
Australian Capital Territory,ACT,13/02/2020,vent_cum,0
Northern Territory,NT,13/02/2020,hosp_cum,0
Northern Territory,NT,13/02/2020,icu_cum,0
Northern Territory,NT,13/02/2020,vent_cum,0
Tasmania,TAS,13/02/2020,hosp_cum,0
Tasmania,TAS,13/02/2020,icu_cum,0
Tasmania,TAS,13/02/2020,vent_cum,0
Western Australia,WA,13/02/2020,hosp_cum,0
Western Australia,WA,13/02/2020,icu_cum,0
Western Australia,WA,13/02/2020,vent_cum,0
South Australia,SA,13/02/2020,hosp_cum,0
South Australia,SA,13/02/2020,icu_cum,0
South Australia,SA,13/02/2020,vent_cum,0
New South Wales,NSW,13/02/2020,hosp_cum,0
New South Wales,NSW,13/02/2020,icu_cum,0
New South Wales,NSW,13/02/2020,vent_cum,0
Victoria,VIC,13/02/2020,hosp_cum,0
Victoria,VIC,13/02/2020,icu_cum,0
Victoria,VIC,13/02/2020,vent_cum,0
Queensland,QLD,13/02/2020,hosp_cum,0
Queensland,QLD,13/02/2020,icu_cum,0
Queensland,QLD,13/02/2020,vent_cum,0
Australian Capital Territory,ACT,14/02/2020,hosp_cum,0
Australian Capital Territory,ACT,14/02/2020,icu_cum,0
Australian Capital Territory,ACT,14/02/2020,vent_cum,0
Northern Territory,NT,14/02/2020,hosp_cum,0
Northern Territory,NT,14/02/2020,icu_cum,0
Northern Territory,NT,14/02/2020,vent_cum,0
Tasmania,TAS,14/02/2020,hosp_cum,0
Tasmania,TAS,14/02/2020,icu_cum,0
Tasmania,TAS,14/02/2020,vent_cum,0
Western Australia,WA,14/02/2020,hosp_cum,0
Western Australia,WA,14/02/2020,icu_cum,0
Western Australia,WA,14/02/2020,vent_cum,0
South Australia,SA,14/02/2020,hosp_cum,0
South Australia,SA,14/02/2020,icu_cum,0
South Australia,SA,14/02/2020,vent_cum,0
New South Wales,NSW,14/02/2020,hosp_cum,0
New South Wales,NSW,14/02/2020,icu_cum,0
New South Wales,NSW,14/02/2020,vent_cum,0
Victoria,VIC,14/02/2020,hosp_cum,0
Victoria,VIC,14/02/2020,icu_cum,0
Victoria,VIC,14/02/2020,vent_cum,0
Queensland,QLD,14/02/2020,hosp_cum,0
Queensland,QLD,14/02/2020,icu_cum,0
Queensland,QLD,14/02/2020,vent_cum,0
Australian Capital Territory,ACT,15/02/2020,hosp_cum,0
Australian Capital Territory,ACT,15/02/2020,icu_cum,0
Australian Capital Territory,ACT,15/02/2020,vent_cum,0
Northern Territory,NT,15/02/2020,hosp_cum,0
Northern Territory,NT,15/02/2020,icu_cum,0
Northern Territory,NT,15/02/2020,vent_cum,0
Tasmania,TAS,15/02/2020,hosp_cum,0
Tasmania,TAS,15/02/2020,icu_cum,0
Tasmania,TAS,15/02/2020,vent_cum,0
Western Australia,WA,15/02/2020,hosp_cum,0
Western Australia,WA,15/02/2020,icu_cum,0
Western Australia,WA,15/02/2020,vent_cum,0
South Australia,SA,15/02/2020,hosp_cum,0
South Australia,SA,15/02/2020,icu_cum,0
South Australia,SA,15/02/2020,vent_cum,0
New South Wales,NSW,15/02/2020,hosp_cum,0
New South Wales,NSW,15/02/2020,icu_cum,0
New South Wales,NSW,15/02/2020,vent_cum,0
Victoria,VIC,15/02/2020,hosp_cum,0
Victoria,VIC,15/02/2020,icu_cum,0
Victoria,VIC,15/02/2020,vent_cum,0
Queensland,QLD,15/02/2020,hosp_cum,0
Queensland,QLD,15/02/2020,icu_cum,0
Queensland,QLD,15/02/2020,vent_cum,0
Australian Capital Territory,ACT,16/02/2020,hosp_cum,0
Australian Capital Territory,ACT,16/02/2020,icu_cum,0
Australian Capital Territory,ACT,16/02/2020,vent_cum,0
Northern Territory,NT,16/02/2020,hosp_cum,0
Northern Territory,NT,16/02/2020,icu_cum,0
Northern Territory,NT,16/02/2020,vent_cum,0
Tasmania,TAS,16/02/2020,hosp_cum,0
Tasmania,TAS,16/02/2020,icu_cum,0
Tasmania,TAS,16/02/2020,vent_cum,0
Western Australia,WA,16/02/2020,hosp_cum,0
Western Australia,WA,16/02/2020,icu_cum,0
Western Australia,WA,16/02/2020,vent_cum,0
South Australia,SA,16/02/2020,hosp_cum,0
South Australia,SA,16/02/2020,icu_cum,0
South Australia,SA,16/02/2020,vent_cum,0
New South Wales,NSW,16/02/2020,hosp_cum,0
New South Wales,NSW,16/02/2020,icu_cum,0
New South Wales,NSW,16/02/2020,vent_cum,0
Victoria,VIC,16/02/2020,hosp_cum,0
Victoria,VIC,16/02/2020,icu_cum,0
Victoria,VIC,16/02/2020,vent_cum,0
Queensland,QLD,16/02/2020,hosp_cum,0
Queensland,QLD,16/02/2020,icu_cum,0
Queensland,QLD,16/02/2020,vent_cum,0
Australian Capital Territory,ACT,17/02/2020,hosp_cum,0
